,idx_test,idx_train,text_test,text_train,score
0,13,14,"Czarnoziemne, zapewne należne do dworu,","Do tych pagórków leśnych, do tych łąk zielonych,",0.4821089912784929
1,7,21,"I stodołę miał wielką, i przy niej trzy stogi","Zieloną, na niej z rzadka ciche grusze siedzą.",0.38409586926621725
2,4,8,"Tym bielsze, że odbite od ciemnej zieleni","(Gdy od płaczącej matki, pod Twoją opiekę",0.37796447300922725
3,10,4,"I widać z liczby kopic, co wzdłuż i wszerz smugów","    Panno święta, co Jasnej bronisz Częstochowy",0.3670060706619729
4,3,1,"Świeciły się z daleka pobielane ściany,","Ile cię trzeba cenić, ten tylko się dowie,",0.3585565671559754
5,16,12,"Brama na wciąż otwarta przechodniom ogłasza,",Tak nas powrócisz cudem na Ojczyzny łono.,0.3445354966980509
6,1,12,"Na pagórku niewielkim, we brzozowym gaju,",Tak nas powrócisz cudem na Ojczyzny łono.,0.3445354966980509
7,10,5,"I widać z liczby kopic, co wzdłuż i wszerz smugów","I w Ostrej świecisz Bramie! Ty, co gród zamkowy",0.3445354966980509
8,14,12,Uprawne dobrze na kształt ogrodowych grządek:,Tak nas powrócisz cudem na Ojczyzny łono.,0.3445354966980509
9,1,21,"Na pagórku niewielkim, we brzozowym gaju,","Zieloną, na niej z rzadka ciche grusze siedzą.",0.3388542153725904
10,14,21,Uprawne dobrze na kształt ogrodowych grządek:,"Zieloną, na niej z rzadka ciche grusze siedzą.",0.3388542153725904
11,16,21,"Brama na wciąż otwarta przechodniom ogłasza,","Zieloną, na niej z rzadka ciche grusze siedzą.",0.3388542153725904
12,11,7,"Świecą gęsto jak gwiazdy, widać z liczby pługów",Jak mnie dziecko do zdrowia powróciłaś cudem,0.3272840165719979
13,13,16,"Czarnoziemne, zapewne należne do dworu,","Do tych pól malowanych zbożem rozmaitem,",0.31824655044622774
14,0,15,"    Śród takich pól przed laty, nad brzegiem ruczaju,",Szeroko nad błękitnym Niemnem rozciągnionych;,0.316227766016838
15,11,0,"Świecą gęsto jak gwiazdy, widać z liczby pługów",    Litwo! Ojczyzno moja! ty jesteś jak zdrowie:,0.31529362944824746
16,11,18,"Świecą gęsto jak gwiazdy, widać z liczby pługów","Gdzie bursztynowy świerzop, gryka jak śnieg biała,",0.31529362944824746
17,0,16,"    Śród takich pól przed laty, nad brzegiem ruczaju,","Do tych pól malowanych zbożem rozmaitem,",0.3066622598335775
18,13,7,"Czarnoziemne, zapewne należne do dworu,",Jak mnie dziecko do zdrowia powróciłaś cudem,0.3007194444771397
19,13,10,"Czarnoziemne, zapewne należne do dworu,","I zaraz mogłem pieszo, do Twych świątyń progu",0.2869787107320743
20,5,8,"Topoli, co go bronią od wiatrów jesieni.","(Gdy od płaczącej matki, pod Twoją opiekę",0.2834318028017485
